trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,sweep_noise
76,regular,psi,"[1, 3]","{3: 'equivocate', 1: 'equivocate'}",0,2,0,"[1, 3]",2,0,"[0, 1, 1, 1, 1, 1, 1, 0, 0, 1]","[0, 1, 0, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]",0,1,0,1,0,1,1,1,0.9186053481689977,0.9186053481689977,,,,0.01,8,2,False,False,0.01
77,regular,psi,"[4, 6]","{4: 'withhold', 6: 'coherent_flip'}",1,0,1,[4],1,1,"[0, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]",0,0,1,0,1,0,0,0,0.4624186795479912,0.4624186795479912,,,,0.01,8,2,False,False,0.01
78,regular,psi,"[4, 7]","{7: 'withhold', 4: 'equivocate'}",0,1,1,"[4, 7]",2,0,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]","[0, 1, 0, 1, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 0, 1, 0]",0,0,1,0,0,0,0,1,0.46241867946318893,0.9186052846349431,,,,0.01,8,2,False,False,0.01
79,regular,psi,"[4, 5]","{5: 'withhold', 4: 'withhold'}",0,0,2,"[4, 5]",2,0,"[0, 0, 1, 0, 1, 1, 1, 0, 1, 0]","[1, 0, 1, 1, 1, 0, 1, 0]","[1, 0, 1, 1, 1, 0, 1, 0]",1,0,1,0,1,0,1,1,0.9186053694170129,0.9186053694170129,,,,0.01,8,2,False,False,0.01
80,regular,psi,"[1, 5]","{1: 'equivocate', 5: 'coherent_flip'}",1,1,0,[1],1,1,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 1]","[1, 0, 1, 0, 0, 0, 0, 1]",1,0,1,0,1,1,1,0,0.9186053094657082,0.30749022079443394,,,,0.01,8,2,False,False,0.01
81,verification,verification,"[4, 6]","{6: 'withhold', 4: 'coherent_flip'}",1,0,1,[6],1,1,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 1]",1,1,0,1,0,1,0,0,,,Psi+,False,0.026165407779535597,0.01,8,2,False,False,0.01
82,regular,psi,"[3, 4]","{3: 'withhold', 4: 'equivocate'}",0,1,1,"[3, 4]",2,0,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1]",0,0,1,0,0,0,0,1,0.46241868049752016,0.9186052830577923,,,,0.01,8,2,False,False,0.01
83,verification,verification,"[6, 8]","{8: 'withhold', 6: 'coherent_flip'}",1,0,1,[8],1,1,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 0]","[0, 1, 0, 1, 1, 1, 1, 0]","[0, 1, 0, 1, 1, 1, 1, 0]",0,1,1,1,1,1,0,0,,,Psi+,False,0.026165404091498055,0.01,8,2,False,False,0.01
84,regular,psi,"[5, 6]","{6: 'withhold', 5: 'equivocate'}",0,1,1,"[5, 6]",2,0,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",1,1,1,0,1,1,0,1,0.3074902176724134,0.9186052962617509,,,,0.01,8,2,False,False,0.01
85,regular,psi,"[6, 8]","{8: 'coherent_flip', 6: 'coherent_flip'}",2,0,0,[],0,2,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 1, 0, 0, 1, 1, 1]",0,1,0,1,0,1,1,1,0.9186053394413578,0.9186053394413578,,,,0.01,8,2,False,False,0.01
86,regular,psi,"[4, 7]","{4: 'withhold', 7: 'equivocate'}",0,1,1,"[4, 7]",2,0,"[0, 1, 1, 0, 0, 1, 0, 0, 1, 1]","[1, 0, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 1, 0, 0, 1, 1]",1,0,1,1,1,0,0,1,0.3074901909921151,0.9186052796633892,,,,0.01,8,2,False,False,0.01
87,regular,psi,"[3, 7]","{7: 'coherent_flip', 3: 'coherent_flip'}",2,0,0,[],0,2,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0, 0]",0,1,0,1,0,1,1,1,0.9186053709941584,0.9186053709941584,,,,0.01,8,2,False,False,0.01
88,regular,psi,"[5, 8]","{8: 'equivocate', 5: 'coherent_flip'}",1,1,0,[8],1,1,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 1, 0, 1, 1]","[0, 0, 1, 0, 1, 0, 1, 0]",1,0,0,1,1,1,0,0,0.3114858066026467,0.30749022929922154,,,,0.01,8,2,False,False,0.01
89,regular,plus,"[1, 8]","{8: 'coherent_flip', 1: 'equivocate'}",1,1,0,[1],1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",1,0,0,1,0,0,0,0,0.047808915376663215,0.9521910846233366,,,,0.01,8,2,True,False,0.01
90,regular,psi,"[1, 4]","{4: 'equivocate', 1: 'coherent_flip'}",1,1,0,[4],1,1,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 1, 1, 0, 0, 1]","[1, 0, 0, 0, 1, 0, 0, 1]",0,1,1,0,0,0,0,0,0.31148578937666294,0.3074902232715891,,,,0.01,8,2,False,False,0.01
91,regular,psi,"[4, 5]","{4: 'equivocate', 5: 'equivocate'}",0,2,0,"[4, 5]",2,0,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 1, 1, 0, 1, 0]",1,1,0,0,1,1,0,1,0.3114857702802888,0.9186053278145495,,,,0.01,8,2,False,False,0.01
92,regular,psi,"[2, 8]","{8: 'equivocate', 2: 'withhold'}",0,1,1,"[2, 8]",2,0,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 1, 1, 1, 1, 0]",1,1,0,1,1,1,0,1,0.46241870271680496,0.918605307888559,,,,0.01,8,2,False,False,0.01
93,regular,psi,"[4, 5]","{4: 'withhold', 5: 'equivocate'}",0,1,1,"[4, 5]",2,0,"[0, 1, 1, 0, 0, 1, 0, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 0, 0, 1, 1]",1,0,1,1,1,0,0,1,0.3074901909921151,0.9186052796633892,,,,0.01,8,2,False,False,0.01
94,verification,verification,"[1, 6]","{1: 'equivocate', 6: 'withhold'}",0,1,1,"[1, 6]",2,0,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[1, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 1, 1]",0,0,0,1,0,0,0,1,,,Psi+,False,0.9215037948341309,0.01,8,2,False,False,0.01
95,regular,psi,"[1, 5]","{1: 'coherent_flip', 5: 'withhold'}",1,0,1,[5],1,1,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 1, 1, 1, 1, 0, 0]",0,1,0,0,0,0,0,0,0.30749018621867125,0.30749018621867125,,,,0.01,8,2,False,False,0.01
96,regular,psi,"[7, 8]","{7: 'equivocate', 8: 'equivocate'}",0,2,0,"[7, 8]",2,0,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 1, 0]","[0, 1, 0, 1, 0, 0, 0, 1]",0,1,1,0,0,1,0,1,0.3114857150757804,0.9186053967335563,,,,0.01,8,2,False,False,0.01
97,regular,psi,"[1, 7]","{1: 'equivocate', 7: 'coherent_flip'}",1,1,0,[1],1,1,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1, 1, 1]",1,1,1,1,1,0,1,0,0.9186053278145495,0.30749020775894703,,,,0.01,8,2,False,False,0.01
98,regular,psi,"[4, 6]","{4: 'equivocate', 6: 'equivocate'}",0,2,0,"[4, 6]",2,0,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 1, 0]",0,0,0,0,0,0,1,1,0.918605307888559,0.918605307888559,,,,0.01,8,2,False,False,0.01
99,regular,psi,"[1, 7]","{7: 'coherent_flip', 1: 'equivocate'}",1,1,0,[1],1,1,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1]","[0, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 1, 0, 1]",0,0,0,0,0,1,1,0,0.9186053398698146,0.30749019570368186,,,,0.01,8,2,False,False,0.01
100,verification,verification,"[2, 4]","{2: 'coherent_flip', 4: 'equivocate'}",1,1,0,[4],1,1,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 1, 0, 1, 1, 0, 0, 1]","[0, 1, 0, 0, 1, 0, 0, 1]",0,0,0,0,1,0,1,0,,,Psi+,False,0.02616540792854707,0.01,8,2,False,False,0.01
