trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,sweep_f
112,regular,psi,[7],{7: 'equivocate'},0,1,0,[7],1,0,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 1, 0, 1, 1]",1,1,1,0,1,1,0,1,0.30749019613213857,0.9186053394413579,,,,0.01,8,1,False,False,1
113,regular,psi,[7],{7: 'withhold'},0,0,1,[7],1,0,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0]",1,1,1,1,1,1,1,1,0.9186053313564035,0.9186053313564035,,,,0.01,8,1,False,False,1
114,verification,verification,[1],{1: 'equivocate'},0,1,0,[1],1,0,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 1]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1]",1,0,1,1,1,0,0,1,,,Phi+,True,0.9215037799329693,0.01,8,1,False,False,1
115,regular,psi,[2],{2: 'equivocate'},0,1,0,[2],1,0,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 1, 1, 0]",0,0,1,0,0,0,0,1,0.46241868557562393,0.9186053477405409,,,,0.01,8,1,False,False,1
116,regular,psi,[3],{3: 'equivocate'},0,1,0,[3],1,0,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 1]",1,0,1,1,1,0,0,1,0.307490244352715,0.9186053128601146,,,,0.01,8,1,False,False,1
117,regular,psi,[2],{2: 'equivocate'},0,1,0,[2],1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",1,0,0,0,1,0,0,1,0.4624186688707114,0.9186052714309835,,,,0.01,8,1,False,False,1
118,regular,psi,[8],{8: 'coherent_flip'},1,0,0,[],0,1,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 1, 0, 0, 0, 1]",0,0,1,0,1,0,0,0,0.4624187027168051,0.4624187027168051,,,,0.01,8,1,False,False,1
119,regular,psi,[3],{3: 'equivocate'},0,1,0,[3],1,0,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 1, 0]",0,0,0,1,0,0,0,1,0.3074901728785218,0.9186053626949747,,,,0.01,8,1,False,False,1
120,regular,psi,[4],{4: 'equivocate'},0,1,0,[4],1,0,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 0]","[1, 0, 1, 0, 1, 1, 0, 0]","[1, 0, 1, 1, 1, 1, 0, 0]",0,0,1,0,0,0,0,1,0.4624186825194063,0.918605316187741,,,,0.01,8,1,False,False,1
121,regular,zero,[4],{4: 'withhold'},0,0,1,[4],1,0,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0]",1,1,1,1,1,1,1,1,0.952191069009767,0.952191069009767,,,,0.01,8,1,True,False,1
122,regular,psi,[6],{6: 'coherent_flip'},1,0,0,[],0,1,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 1, 1, 1, 1, 1]",1,0,0,0,0,0,0,0,0.4624187027168051,0.4624187027168051,,,,0.01,8,1,False,False,1
123,regular,psi,[5],{5: 'coherent_flip'},1,0,0,[],0,1,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 1]","[0, 1, 1, 1, 0, 0, 0, 1]","[0, 1, 1, 1, 0, 0, 0, 1]",0,1,0,0,0,0,0,0,0.3074901862186712,0.3074901862186712,,,,0.01,8,1,False,False,1
124,regular,psi,[4],{4: 'equivocate'},0,1,0,[4],1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",0,1,1,1,0,1,0,1,0.4624187375972293,0.9186053427689832,,,,0.01,8,1,False,False,1
