trial_id,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_reported,M_Z_reported,M_X_recovered,M_Z_recovered,M_correct_before,M_correct_after,fidelity_before,fidelity_after,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,input_state,sweep_noise
14,"[1, 6]","{6: 'withhold', 1: 'withhold'}",0,0,2,"[1, 6]",2,0,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]",1,0,1,0,1,0,1,1,0.962863325463407,0.962863325463407,0.0,8,2,False,False,psi,0.0
15,"[2, 3]","{3: 'coherent_flip', 2: 'coherent_flip'}",2,0,0,[],0,2,"[0, 0, 1, 0, 1, 0, 1, 1, 1, 0]","[1, 1, 0, 0, 1, 1, 1, 0]","[1, 1, 0, 0, 1, 1, 1, 0]",1,0,0,1,0,1,0,0,0.29155464976638207,0.29155464976638207,0.0,8,2,False,False,psi,0.0
16,"[4, 8]","{4: 'equivocate', 8: 'equivocate'}",0,2,0,"[4, 8]",2,0,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 0]","[1, 0, 1, 0, 1, 0, 1, 1]",0,1,0,1,0,1,1,1,0.9628633254634072,0.9628633254634072,0.0,8,2,False,False,psi,0.0
17,"[1, 5]","{1: 'equivocate', 5: 'coherent_flip'}",1,1,0,[1],1,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,1,1,0,0.9628633254634071,0.28713667453659303,0.0,8,2,False,False,psi,0.0
18,"[3, 6]","{3: 'withhold', 6: 'equivocate'}",0,1,1,"[3, 6]",2,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1]",0,1,1,1,0,1,0,1,0.4584453502336177,0.962863325463407,0.0,8,2,False,False,psi,0.0
19,"[5, 6]","{5: 'coherent_flip', 6: 'coherent_flip'}",2,0,0,[],0,2,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]",0,1,1,0,1,0,0,0,0.2915546497663819,0.2915546497663819,0.0,8,2,False,False,psi,0.0
0,"[5, 7]","{5: 'withhold', 7: 'withhold'}",0,0,2,"[5, 7]",2,0,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1]","[1, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 1, 1, 0, 0, 0]",0,1,1,1,1,1,0,0,0.46990882406691237,0.46990882406691237,0.005,8,2,False,False,psi,0.005
1,"[7, 8]","{8: 'equivocate', 7: 'equivocate'}",0,2,0,"[7, 8]",2,0,"[1, 1, 0, 1, 0, 0, 1, 1, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 1, 0]",1,1,0,0,1,1,0,1,0.3171944789348773,0.8888720778234346,0.005,8,2,False,False,psi,0.005
2,"[1, 8]","{8: 'coherent_flip', 1: 'withhold'}",1,0,1,[1],1,1,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 1, 0, 1, 0, 0]","[0, 1, 1, 1, 0, 1, 0, 0]",0,1,1,1,1,1,0,0,0.4699088240669124,0.4699088240669124,0.005,8,2,False,False,psi,0.005
3,"[1, 6]","{1: 'equivocate', 6: 'withhold'}",0,1,1,"[1, 6]",2,0,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[0, 1, 1, 0, 1, 0, 1, 1]",1,0,1,0,1,1,1,0,0.9279330592928846,0.07206694070711515,0.005,8,2,True,True,plus,0.005
